id,name,description,original_price,price,fulfillment_type,brand,review_count,rating_average,favourite_count,pay_later,current_seller,date_created,number_of_images,vnd_cashback,has_video,quantity_sold,category
34536440,Balo thời trang cá tính kết hợp đi học và đi du lịch - LUBION BAG,"Bạn đang cần tìm một chiếc BALO vừa có thể đi học, đi làm, đi du lịch mà vẫn phải nhỏ gọn và tiện dụng thì chắc chắn chiếc Balo thời trang Balos sẽ là sự lựa chọn ưu tiên dành cho bạn. Khác với các dò...",410000,410000,dropship,Lubion,0,0.0,0,True,Balo Lubion,1438,2,0,False,0,backpacks_suitcases
141472970,Balo - túi xách du lịch gấp gọn 3 trong 1 cực tiện dụng KDR-NC255 Kodoros,"Balo – Túi xách du lịch đa năng 3 in 1 là sự kết hợp độc đáo giữa balo và túi xách vô cùng độc đáo, tiện lợi   - Bạn có thể đeo túi ở một bên vai, đeo chéo qua vai hoặc đeo phía sau lưng n...",54000,54000,dropship,OEM,0,0.0,0,False,KODOROS BAG,662,9,0,False,0,backpacks_suitcases
172985095,Ba Lô Nam Giới Và Nữ ba lô học sinh trung học ba lô Du Lịch dã ngoại Ngoài Trời 205925,Túi kích thước: Trong   Họa tiết: Màu   Vật liệu Kết cấu: Polyester   Nguồn cung cấp Thể loại: tại chỗ   Màu sắc: đỏ/xanh lá/xanh dương/Đen/Xanh/Xám/Xám   Loại sản phẩm: Ba lô du lịch/...,224000,224000,dropship,OEM,0,0.0,0,True,Túi xách tlg,531,6,6082,False,0,backpacks_suitcases
68247288,BALO NỮ ĐI HỌC DU LỊCH HỌA TIẾT DỄ THƯƠNG AZDBN109,"** THÔNG TIN SẢN PHẨM **- Chất liệu: Vải canvas- Kích thước:  45cm* 16cm* 32cm  Thiết kế hiện đại, kiểu dáng thời trangChất liệu vải cao cấp, bền đẹpĐường chỉ may chắc chắnQuai đeo lót vải, đ...",125000,125000,dropship,OEM,0,0.0,0,True,MALENICS,1084,5,0,False,3,backpacks_suitcases
168640465,Balo Đi Học ULZZANG Chống Nước Cao Cấp Thời Trang Rẻ Đẹp Nhẹ Vải Canvas Đen Đựng Laptop Đi Chơi Du Lịch Nam Nữ DOLANTO,"DOLANTO - Thương hiệu từ Italy - đem đến cho bạn những trải nghiệm từ phong cách sống đơn giản, hiện đại và sang trọng nhất. Chi tiết mẫu balo ULZZANG:+ Kích thước: 40 x 45 x 12 cm.+ Chất liệu Vải Pol...",278000,278000,dropship,Dolanto,0,0.0,0,True,Dolanto,550,6,0,False,1,backpacks_suitcases
121331240,Ba lô du lịch chống xốc,Làm bằng chất liệu vải gai độ bền cáo chống nước và va đập cực tốt xưởng chuyên nhận bán buôn và hợp đồng số lượng lớn Theo yêu cầu   ...,140000,140000,dropship,OEM,0,0.0,0,True,MYHADA,735,1,0,False,0,backpacks_suitcases
134885181,Balo nam nữ chống thấm nước tiện dụng đi học đi làm hay đi chơi du lịch BLH02,"Balo thời trang nam nữ đi học đi làm dã ngoại du lịch chống thấm water proof YME_BLH02   Bạn là người đơn giản, bạn đang muốn tìm một chiếc balo basic để đi làm, đi học, đi chơ Vậy thì chi...",252000,252000,dropship,YME,0,0.0,0,True,Thời trang YME,684,9,0,False,0,backpacks_suitcases
215905517,TRÙM BALO OSPREY 20L (VNXK) - GARA20,"Trùm balo OspreyChất liệu: chống nướcDạng trùm thun tiện lợi, chống nước an toànThích hợp bọc balo 25-35LLogo cánh đại bàng Phản quang cấp độ III cực sáng trong đêm tối.Trùm chống nước, đi phượt,...",6990000,6990000,dropship,OEM,0,0.0,0,True,Gara20 Mũ Bảo Hiểm Đồ Bảo Hộ,220,6,0,False,0,backpacks_suitcases
183481747,Ba lô thời trang du lịch cao cấp,"Kích thước : rộng 28cm ,cao 50cm,dày 18cmPhương pháp sản xuất: công nghệ caoChất liệu : Màng chống thấm nylon được mã hóa SIÊU CHỐNG THẤM NƯỚCChức năng: Không thấm nước, thoáng khí, chống mài mòn, làm...",320000,304000,dropship,OEM,0,0.0,0,True,VOLINH,472,14,0,False,1,backpacks_suitcases
173253982,"Ba lô nữ thời trâng phong cách Hàn Quốc - Balo Đi Học - Balo Du Lịch, Dã Ngoại 205928",• Thiết kế thời trang đẹp mắt   • Chất liệu cao cấp bền và đẹp   • Kiểu dáng thời trang hiện đại   • Sản xuất tại Việt Nam   • Kích thước : Cao 34cm - Rộng 15cm - Dài 28cm   ...,122300,109800,dropship,OEM,0,0.0,0,True,ĐỒ DA THÀNH LONG TLG,530,8,2981,False,0,backpacks_suitcases
